"","Target","Dataset","Sample_ID","Hive","Date","Bee_type","Scab","gut_mg","Extractor","Cq","SD","actin_Cq","actin_CopyNum","CopyNum","CellNum","Present","CopyNum_norm","CellNum_norm"
"121","Ba","mm","113","DdM","150817","F","1","NA","PLO",19.8679333333333,"4.2901320880985597E-2",20.9916,8121612.20389437,37526611.7469722,18763305.8734861,1,44658940,22329470
"122","Ba","mm","202","DdM","151215","F","1","NA","M",25.4238333333333,"6.1715584201507703E-2",20.9507,8336923.88546831,693568.469883004,346784.234941502,1,804072,402036
"123","Ba","mm","385","DdM","160715","F","1","NA","P",22.5865,"3.2958155288182397E-2",20.2653666666667,12924617.744801,5324022.8237382,2662011.4118691,1,3981379,1990689
"124","Ba","mm","264","DdM","160217","W","1","NA","M",16.6535666666667,"2.2600294983326899E-2",20.8866024017334,8685895.62559324,377669030.890305,188834515.445152,1,420250335,210125167
"125","Ba","mm","159","DdM","151014","F","1","NA","L",29.26605,"5.4800775541957801E-2",20.7409333333333,9534261.45943871,43898.5001127845,21949.2500563923,1,44501,22251
"126","Ba","mm","249","DdM","160217","W","0","NA","M",14.40495,"1.7889801564019401E-2",21.0234174728394,7957967.02140427,1899339311.75613,949669655.878065,1,2306809454,1153404727
"127","Ba","mm","73","DdM","150609","F","0","NA","PLO",22.6453,"6.80236723501456E-2",20.4583435058594,11423556.7641736,5103831.49760936,2551915.74880468,1,4318235,2159118
"128","Ba","mm","520","DdM","170117","W","1","NA","M",14.9176333333333,"2.0938560918394099E-2",19.7462666666667,18015386.5901297,1314204538.14924,657102269.074618,1,705067468,352533734
"129","Ba","mm","114","DdM","150817","F","0","NA","PLO",21.88,"2.3733731270072701E-2",20.8571666666667,8851013.06684551,8843896.42373628,4421948.21186814,1,9657439,4828719
"130","Ba","mm","341","DdM","160620","F","1","NA","P",22.7070666666667,"6.6300553039422103E-2",20.8017333333333,9170531.0746781,4882331.33196616,2441165.66598308,1,5145695,2572848
"131","Ba","mm","386","DdM","160715","F","0","NA","P",20.98065,"9.6520075631962396E-2",20.3336,12372568.6381363,16873686.0457895,8436843.02289476,1,13181396,6590698
"132","Ba","mm","568","DdM","170316","F","0","NA","M",26.4922,"0.38247035179213701",20.45545,11444722.6080784,321955.337135572,160977.668567786,1,271895,135948
"133","Ba","mm","25","DdM","150513","F","1","NA","PLO",30.6526,"NA",21.5942666666667,5523296.36171644,16214.1316712436,8107.06583562182,1,28373,14187
"134","Ba","mm","74","DdM","150609","F","1","NA","PLO",20.9688333333333,"7.0229077548644006E-2",20.742208480835,9526486.85674026,17017523.4809634,8508761.74048171,1,17265330,8632665
"135","Ba","mm","432","DdM","160914","F","1","NA","M",23.1196,"3.9279511198588697E-2",19.1018666666667,27207122.2362319,3630203.86687661,1815101.93343831,1,1289614,644807
"136","Ba","mm","521","DdM","170117","W","1","NA","M",15.309,"0.14905810947412501",21.1454333333333,7360400.59518873,992133243.7447,496066621.87235,1,1302806302,651403151
"137","Ba","mm","115","DdM","150817","F","1","NA","PLO",21.9401666666667,"4.2029077236281999E-2",21.3029666666667,6654763.91555238,8469810.89071105,4234905.44535552,1,12301338,6150669
"138","Ba","mm","266","DdM","160217","W","1","NA","M",21.2032,"0.10842006271903699",21.5155423482259,5808593.44022465,14380765.5685732,7190382.78428658,1,23928878,11964439
"139","Ba","mm","387","DdM","160816","F","1","NA","M",16.3661,"2.7011479041326E-2",19.4374333333333,21950748.028775,464291894.963857,232145947.481929,1,204433977,102216989
"140","Ba","mm","250","DdM","160217","W","1","NA","M",15.0785,"1.6404877323527401E-2",21.2460632324219,6901485.95278561,1170787525.97522,585393762.987611,1,1639633484,819816742
"141","Ba","mm","160","DdM","151014","F","0","NA","L",22.6875,"3.3834154341434601E-2",20.7456,9505839.52956438,4951438.35970198,2475719.17985099,1,5034452,2517226
"142","Ba","mm","299","DdM","160419","F","0","NA","P",23.7303,"8.6692387209027805E-2",21.3963333333333,6268906.81163294,2341065.6153678,1170532.8076839,1,3609384,1804692
"143","Ba","mm","205","DdM","151215","F","0","NA","M",26.3162,"4.2534221516326798E-2",21.2782666666667,6760755.96297229,365343.668341633,182671.834170817,1,522297,261149
"144","Ba","mm","522","DdM","170117","W","1","NA","M",15.0538,"2.5314422766478401E-2",19.6655666666667,18969904.2806345,1191745823.08434,595872911.542168,1,607197255,303598627
"145","Ba","mm","116","DdM","150817","F","1","NA","PLO",19.053,"1.83010928635431E-2",21.3133666666667,6610634.32607693,67386138.3862675,33693069.1931337,1,98523251,49261626
"146","Ba","mm","388","DdM","160816","F","0","NA","M",23.38495,"5.5790725035616703E-2",19.1245333333333,26815440.7088061,3000204.97638936,1500102.48819468,1,1081377,540689
"147","Ba","mm","251","DdM","160217","W","0","NA","M",19.70085,"0.121127391617255",20.9326095581055,8433970.05497981,42312006.0823437,21156003.0411718,1,48488959,24244480
"148","Ba","mm","494","DdM","161216","W","0","NA","M",19.3598666666667,"8.8677862701653107E-2",20.1646,13785246.936188,54055352.9269975,27027676.4634987,1,37899673,18949836
"149","Ba","mm","161","DdM","151014","F","0","NA","L",21.0268,"8.4287128317438495E-2",22.8892,2412216.18992814,16323479.9104681,8161739.95523404,1,65404529,32702264
"150","Ba","mm","206","DdM","151215","F","0","NA","M",25.1332666666667,"3.6350149013897499E-3",21.1523333333333,7327981.55101704,854547.412739818,427273.706369909,1,1127102,563551
"151","Ba","mm","344","DdM","160620","F","1","NA","P",26.5051,"0.134762272168438",20.4835333333333,11240940.3798164,318985.742330048,159492.871165024,1,274271,137136
"152","Ba","mm","523","DdM","170117","W","0","NA","M",18.065,"8.2456048898795608E-3",21.096,7596891.55103192,137022738.181401,68511369.0907007,1,174328348,87164174
"153","Ba","mm","117","DdM","150817","F","0","NA","PLO",21.2082,"3.6806113622602901E-2",20.4336,11605825.5551649,14329207.7171595,7164603.85857974,1,11933214,5966607
"154","Ba","mm","252","DdM","160217","W","1","NA","M",16.1672,"8.9378297141979798E-2",20.6946687698364,9820670.19917582,535600621.394772,267800310.697386,1,527122126,263561063
"155","Ba","mm","495","DdM","161216","W","0","NA","M",16.9729,"7.6128378414360307E-2",20.5964333333333,10457664.3024586,300255063.199772,150127531.599886,1,277502528,138751264
"156","Ba","mm","360","DdM","160620","F","1","NA","P",26.5885,"0.137798258334422",20.4193,11712487.1290507,300436.944036582,150218.472018291,1,247922,123961
"157","Ba","mm","162","DdM","151014","F","1","NA","L",22.7518,"5.3747185972849797E-2",20.3964333333333,11885086.9463708,4727940.30975193,2363970.15487596,1,3844863,1922432
"158","Ba","mm","345","DdM","160620","F","0","NA","P",26.8604,"9.6197505165154698E-2",20.105,14321012.1998494,247132.505815321,123566.252907661,1,166789,83395
"159","Ba","mm","99","DdM","150817","F","1","NA","PLO",22.16915,"2.17081781824267E-2",20.5743666666667,10606342.8719355,7185198.60580209,3592599.30290105,1,6547634,3273817
